"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 26 08:16:31 UTC 2026","Sat Sep 26 08:16:31 UTC 2026","577","tests","test_google_search_smoke","","","","test_google_search_box_exists",""
"passed","Sat Sep 26 08:16:58 UTC 2026","Sat Sep 26 08:16:59 UTC 2026","1009","tests","test_google_search_sanity","","","","test_google_search_box_exists",""
"passed","Sat Sep 26 08:17:15 UTC 2026","Sat Sep 26 08:17:15 UTC 2026","714","tests","test_google_search_regression","","","","test_google_search_box_exists",""
